Game,Team,CF,CA,FF,FA,SF,SA,GF,GA,xGF,xGA,SCF,SCA,HDCF,HDCA,HDSF,HDSA,HDGF,HDGA,MDCF,MDCA,MDSF,MDSA,MDGF,MDGA,LDCF,LDCA,LDSF,LDSA,LDGF,LDGA,PDO
"2021-05-01 - NJ 4, PHI 1",NJ,46,67,34,48,21,32,4,1,1.62,3.4,20,33,4,13,3,9,0,0,16,20,8,11,3,1,24,30,10,11,1,0,1.159
"2021-05-01 - NJ 4, PHI 1",PHI,67,46,48,34,32,21,1,4,3.4,1.62,33,20,13,4,9,3,0,0,20,16,11,8,1,3,30,24,11,10,0,1,0.841
"2021-05-01 - PIT 3, WSH 0",PIT,45,47,36,36,26,24,3,0,2.54,2.19,26,21,11,10,8,7,3,0,15,11,5,3,0,0,15,24,12,14,0,0,1.115
"2021-05-01 - PIT 3, WSH 0",WSH,47,45,36,36,24,26,0,3,2.19,2.54,21,26,10,11,7,8,0,3,11,15,3,5,0,0,24,15,14,12,0,0,0.885
"2021-05-01 - CBJ 1, CAR 2",CAR,66,55,44,42,33,32,2,1,2.17,3.15,30,28,12,14,7,9,1,1,18,14,7,9,0,0,31,24,17,13,1,0,1.029
"2021-05-01 - CBJ 1, CAR 2",CBJ,55,66,42,44,32,33,1,2,3.15,2.17,28,30,14,12,9,7,1,1,14,18,9,7,0,0,24,31,13,17,0,1,0.971
"2021-05-01 - TB 0, DET 1",DET,31,62,22,48,15,33,0,0,1.28,4.32,18,37,6,19,3,13,0,0,12,18,5,8,0,0,13,24,7,12,0,0,1.0
"2021-05-01 - TB 0, DET 1",TB,62,31,48,22,33,15,0,0,4.32,1.28,37,18,19,6,13,3,0,0,18,12,8,5,0,0,24,13,12,7,0,0,1.0
"2021-05-01 - FLA 5, CHI 4",CHI,55,81,42,63,35,42,4,5,3.58,4.04,33,40,19,14,16,12,2,4,14,26,9,11,0,0,22,38,10,18,2,1,0.995
"2021-05-01 - FLA 5, CHI 4",FLA,81,55,63,42,42,35,5,4,4.04,3.58,40,33,14,19,12,16,4,2,26,14,11,9,0,0,38,22,18,10,1,2,1.005
